item_name,item_type,item_id,reason,additionalInfo,priority,requestDate
Intro to Algorithms (4th Edition),Textbook,026204630X,course teaching,Would like for F24 semester,0,2024-03-22
Some book,Textbook,12341,self-improvement,,1,2024-03-22
Hello World,Textbook,42,course teaching,,0,2024-03-22
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-01
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
test,Textbook,0,test,,1,2024-04-02
